NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
46.7 12.3 16.5 0 3.4 0 1.9 3.1 3.9 15.7 4.4 5.5
1.5 3.6 21.4 4.6 0 0 1.9 1.5 0 0 2.5 13.7
6.4 4.2 20.2 4.5 20 0 6.9 0 1.9 16.5 10.6 13.9
27.4 0 15.3 14.2 11.2 0 0 0 14.4 0 14.4 33.8
23.7 33.5 4.8 0 3.7 0 0 1 0 0 3 0
32.5 6.8 6.7 0 0 0 0 0 1.5 2.2 25.7 26.5
16.5 27.5 7.9 3.1 14.9 0 3.4 0 12.2 0 46.5 20.2
6.4 22 16 11 0 0 0 0 0 0 10.2 7.3
125.5 67.7 22.1 25.2 11.2 0 0 0 0 0 0 10.5
30 23.7 28.1 8.8 2.3 0 0 1.7 1.5 1.5 27.7 8.8
1.2 35.6 35.2 11.4 1.7 0 7 1.2 3.6 4.7 44.2 33.3
0 54 61 19.2 0 0 0 33 7.5 28 20.1 29.9
8 0 8 8 NA NA 0.4 7 0.4 0.4 10 35
10.5 20 7 0.3 0 0 2 0 6 25 45 19
17 31 19 3 0 0 2 0 10 18 15 18
18 35 19 10 1 0 0 0 5 25 50 25
13 35 25 25 0 0 0 0 0 0 14 13
NA 41 22 2 1 0 0 0 3.5 2 2 2
24 10 5 4.5 6.5 4.5 0 0 0 0 15.5 21
17 132 37 NA 1.7 0 3 0 17 17 9 NA
36 40 24 4 13 0 NA NA NA NA NA NA
NA NA NA 0 4 3 0 2 0 8 13 11
11.5 35 20 10 0 0 0 16 0 3.5 15.4 2.5
31 71 30 21 5 0.3 0 NA 3 NA 6 5
34 24 44 4 0 0 5 9 0 14 18 5
59 21 0 14 0 5 0 0 19 0.5 28 36.5
31 47 26.5 8.5 23 0.5 0 18.5 4 6 13.5 13
9.5 0 14.5 NA NA NA NA NA NA NA NA NA
3 32 13 0 0 8 0 0 3 8 15.5 2.5
24 20 0 12.5 0 0 3 0.2 0 0 13.5 11
5 1 12 2 0 0 NA NA NA NA NA NA
NA NA NA NA NA 0 0 0 0 0 16.5 17.2
4.1 40.1 14.2 7.2 0 0 0 0 0 42 20.2 35.5
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
0 0 0 0 0 0 0 0 4 0 45 15
45 20 10 0 7.3 0 8.5 5.5 0 0 32 NA
1 16 0 3 0 0.7 0 0 2 0 18 51
62 25 23 8 0 0 0 9 0.5 42.5 15 31
8 82 24 6 5 0 3 0 2 7.5 32.5 20
6.5 23 57 18 0 0 0 1 5 3.5 NA NA
28 23.5 21 1 5 0 2 10 6 17 7 13
4.5 6 19.5 4.5 0 0 2.5 4.7 0 0 7.5 21
15 37 22 3 48 0 43.5 0 4.5 9.5 11 9
33 0 20 14 0 0 0 0 0 0 20 50
32.5 38 11 0 15 0 0 7.5 0 0 7.5 0
18 12 8.5 1 0 12 0 0 2.5 1 13.5 25.5
14 29 5.5 2.5 3.5 0 0 0 15 0 73 35
6 26 25 21 0 0 0 0 0 0 3 0
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
12.9 27 16 9.5 0 5.9 0 0 0 9 2.5 1.5
14.7 29 17.2 10.1 0 0 0 0 0 0 11.5 10.7
7 4.8 10 8 0 0 0 0 15 0 12.5 20
0 69 48 21.5 6 2 2 0 0 0 14 17
4.5 50 13.2 4.5 0 0 0 0 0 80 8.5 69
36 25.5 10.5 6.9 2.7 0 0 0 0 6.5 0 0
6.5 6 11.6 22.8 22 0 0 0 0 5.5 2 11
16.3 23 3 11 0 0 0 0 6 0 1.5 17
32 26.7 13 0 15.5 0 3.8 0 0 1.5 30 62
3 27 0 5 0 0 0 0 0 1.3 11 57
54.5 22 22 14.4 0 0 0 0 0 43.5 17.5 60
8 65 54 6 7 0 0 0 0 6 43 17.7
6 18 26.5 22 0 0 0 0 2 5 3 46
38 10.5 28 2 6.4 0 0 4.5 0 23 9 16
11 16.1 10 6 0 0 0 0 0 0 7 31
13.5 20.5 34.5 2 28 0 0 0 3.7 11 7.3 17.5
37 0 20 13 17.5 0 0 0 42 1.5 20 43
35.5 70.5 2 0 20 0 0 0 0 0 0 2
30 10 4 0 0 0 0 0 0 0 26 26
26 36 13 2 2.5 0 0 0 0 0 42.5 26
11 25 18 20 0 2 0 0 0 0 5 9.5
