7 0 20 0 13 71 24 65 6.5 16 24 0
0 5 0 0 17 20 45.1 19 NA 8 0 0
0 0 0 18 36 33 94 40 7 16 0 5
0 0 0 9 7 47 33 26 47 50 18 14
0 0 3 5 5 4.4 42 NA 20 0 12 0
6 0 3 2 0 36 39 58 19 0 0 0
0 4 0 7 28 31 30 31 18 0 0 0
0 0 6 4 NA 0 23 34 17 18 0 0
0 0 0 0 5.7 20 90 33.5 30 5 0 4
NA NA NA NA NA 0 0 0 0 0 NA NA
NA NA NA 0 0 0 0 0 0 0 NA NA
0 0 0 0 0 0 0 0 0 23.5 0 0
0 0 0 0 0 0 0 0 66 10 25 30
0 0 8 4 14 30 21 28 56.3 29 0 0
0 0 27 25 13 23 24 11 14 60.5 5 0
4 8 2.5 0 2 40 45 51 62.5 49 15 0
0 0 0 0 0 60.5 20.7 20 16 0 0 0
0 0 0 0 0 65.6 40.3 41 20 6 6 2
10 8 0 12 7 56.5 35 65 10 15 0 0
6 12 0 0 0 0 20 24 30 3 0 0
8 0 0 0 14 11 20 70 59 20 0 0
0 0 0 0 0 56 4 26 70 25 0 0
0 6 1 0 0 0 25 40 15 20 0 0
20 0 15 18 20 20 30 60 25 20 10 0
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
0 6 10 18 10 8 5 20 10 12 10 10
8 0 17 5 15 21 60 40 10 9 15 5
0 10 10 0 7 0 25 20 65 5 3 0
0 10 0 8 20 20 11 30 50 30 15 10
0 0 10 0 10 0 5 10 10 15 30 22
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA 16 21 20 20 9 2 0
2 1 6 10 20 NA 31.3 20 7.5 4 5.2 2.5
0 4 0 5.8 20 46.7 34.5 38.5 51 49 23.5 0
0 NA 0 15.5 41.8 9 26 26.5 20 0 5.8 0
0 0 0 42.8 0 22.5 46 18.5 8 0 0 0
0 0 0 1 26 81 15 34.8 9.5 NA 5 NA
6.5 21 31.5 1.5 18 27 31.5 NA 31.5 21 1.5 1.5
0 0 0 0 1 47 40 14 31 16 NA NA
40 6 14 NA NA NA NA NA NA NA NA NA
NA 2 1.5 0 3 34 42 23 NA NA 17 0
