"Code","Date","Observed","Suggested","Anomaly (std.devs.)","Deleted"
"22004","2006-09-01",132.5,38.4,6.03,0
"22004","2009-09-01",33.4,120.2,-5.44,1
"22004","2010-06-01",11.5,79.2,-4.34,0
"22046","2017-02-01",145.6,3.1,9.39,1
"22063","2010-06-01",12.3,75.8,-4.48,0
"22070","1999-02-01",93.5,0,6.07,0
