 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2001 
 NOMBRE    : AGUA CALIENTE 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972	10.9	14.2	16.7	17.3	19.4	21.6	27	25.2	22.3	17.8	13.4	10.3	216.1	18	12
1973	9.3	11.8	10.4	14.1	19.1	23.6	24	24.5	20.9	19.9	14.1	12.3	204	17	12
1974	10.8	12.4	13.3	17.3	20.6	26.5	27.3	26.6		19.4	15.6	11.2	201	18.3	11
1975	12	11.6	11.5	11.6	16.9	19.6	23.6	24.9	24.7	18.5	15.7	12.4	203	16.9	12
1976	13.9	13.4	13.2	14.2	18.4	23.2	23.3	24	21.5	19.9	17	12.7	214.7	17.9	12
1977	11.9	14.8	12.1	17	15.8	21.7	25.5	24.7	22.7	20.8	17.7	15	219.7	18.3	12
1978	12.6	13.1	14.3	14.3	18.7	24.5	26.6	24.3	23	21.6	13.7	10	216.7	18.1	12
1979	10	11.6	12.8	15.5	17.7	22.5	25	23.9	27.1	19.3	14.8	13.7	213.9	17.8	12
1980	13.2	14.8	12.8	16	15.7	22.3	27.4	25	22.2	20.9	16.8	14.6	221.7	18.5	12
1981	14.1	15.2	12.8	16.2	18.2	24.7	25.7	26.8	24.2	17.5	16.7	14.1	226.2	18.9	12
1982	11.2	13.5	13	15.7	17.3	19.3	24.5	25.7	23.9	19.6	13.6	11	208.3	17.4	12
1983	12.8	12.8	13.3	13.1	17.5	19	24.2	26.4	25.7	20.3	14.7	11.8	211.6	17.6	12
1984	13	13.5	15.4	15.3	20.3	20.5	26.3	25.2	26.3	17.6	13.7	11.1	218.2	18.2	12
1985	10.9	12.3	12.2	18	17.5	23.1	25.9	25.3	21.6	19.1	14.3	13	213.2	17.8	12
1986	14.9	13.6	15.2	16.5	18.1	25.8	23.6	26.5	19.9	18.8	16.3	12.4	221.6	18.5	12
1987	11.2	11.9	12.9	17.4	18.4	21	21.4	23.2	23.4	21.5	14.5	10	206.8	17.2	12
1988	12	14.7	15.5	16.7	18.6	20	24.5	24.4	22.9	20.5	14.8	11.2	215.8	18	12
1989	11	12.7	16.2	19.1	18.9	21.7	25.1	23	24.7	19.2	17.7	15	224.3	18.7	12
1990	12.9	11.5	14.4	16.3	17.7	23.2	25.3	22.8	24.2	21.8	16.6	11.2	217.9	18.2	12
1991	12.5	16	11.5	15	16.1	17.8	21.1	23.6	23.4	22.3	17.2	12.1	208.6	17.4	12
1992	12.7	14.1	13.1	17.7	18.2	21	24.2	26.2	25.6	20.1	16.2	11.1	220.2	18.4	12
1993	12.4	12.5	15.3	17	19.1	21.3	20.8	23.2	23.4	20.4	15.6	13	214	17.8	12
1994	14.6	13	13.9	15.3	16	22.8	22.9	26.4	24	18.3	12.1	12	211.3	17.6	12
1995	11.7	15.3	14	14.8	15.6	19.4	25.5	28.5	25.7	19.5	19	13.5	222.5	18.5	12
1996	13.9	14.1	14.4	18.1	19.7	21	25.5	25.9	22.5	18.7	16.3	14	224.1	18.7	12
1997	12.9	12.4	16.2	16.2	20.7	19.3	22.1	25.8	25.9	19.6	16.5	11.6	219.2	18.3	12
1998	12	10.5	12.8	13.5	15.5	19.4	24.4	27.1	21.5	17.9	14.9	11.8	201.3	16.8	12
1999	13	12.5	11.3	12.9	15.7	18.6	23.4	24.1	21.4	22.3	16.6	13.5	205.3	17.1	12
2000	14.7	12.6	13.6	17.4	19.7	22	23.7	25.1	23.4	17.4	13.7	15.5	218.8	18.2	12
2001	11.4	11.3	14	14.1	20.1	22.9	22.7	24.3	24	20.8	16	12.2	213.8	17.8	12
2002	12.7	14.7	13.5	15.7	16.9	20.5	23.1	23.8	25.2	17.2	17.7	12.7	213.7	17.8	12
2003	17.2	13.7	14.6	14.1	17.6	18.9	25.3	26.7	24	23	14.4	12.9	222.4	18.5	12
2004	12.3	11.6	17.9	16.8	19.8	19.3	23.6	23.2	23	17.9	12.7	12.8	210.9	17.6	12
2005	12.7	12.3	13.8	15.2	18.6	19	25.6	25.4	23.1	20	17.8	15.6	219.1	18.3	12
2006	14.2	15.5	12.4	15	18.7	24.3	28.1	24.7	24.8	18.9	18.4	13.8	228.8	19.1	12
2007	11.2	14.1	16.9	16.6	18.2	21.3	24.3	25.8	23.2	20.9	16.9	12.3	221.7	18.5	12
2008	12.1	12.8	14.6	16.9	18.1	23.4	24.2	24.8	25	23	19		213.9	19.4	11
2009	15.3	13.1	14.2	15.6	19.7	19.9	26	24.9	26.2	19.4	16.7	12.4	223.4	18.6	12
2010	14.2	12.9	14.3	14.1	16.2	19.2	22.3	24.5	24.4	18.9	15.5	14.6	211.1	17.6	12
2011	14	11.4	14.7	16.6	14.7	19.9	23.5	25.3	23.8	21	15.2	12	212.1	17.7	12
2012	15.5	13	13.9	16.5	18.9	20.1	23.4	26.7	27.2	21.2			196.4	19.6	10
2013	12	11.8	16	16.7	19.2	21.4	24.7	24.9	24.7	18.7	16.6	13.7	220.4	18.4	12
2014	17.5	16.4	16.2	17.6	20.2	21.8	24.9	25.6	25.8	22	18	14	240	20	12
2015	15	17.6	18	17.4	16.7	23.3	23.3	25.8	25.5	22.8	16.2	12.7	234.3	19.5	12
2016	12.7	17.3	16	17.3	16.9	22.9	25.5	24.9	22.3	21.5	18.3	13.8	229.4	19.1	12
2017	12.4	14	17	17.9	18.1	22.9	24.3	24.8	22.8	21.8	19.3	16.2	231.5	19.3	12
2018	16.9	13.6	15.1	18.1	17.3	20.5	25.8	25.4	23.2	19.5	16.8	13	225.2	18.8	12
2019	12.6	10.5	13.6	17.4	15.5	20.3	23.5	25.2	23.5	20.3	17.3	13.4	213.1	17.8	12
2020	12.8	13.6	12.7	16.1	19.6	20.9	24.2	27.3	26.1	22.9	17.3	14.3	227.8	19	12
2021	12.7												12.7	12.7	1
MÍNIMA	9.3	10.5	10.4	11.6	14.7	17.8	20.8	22.8	19.9	17.2	12.1	8.9	12.7	12.7	
MÁXIMA	17.5	17.6	18	19.1	20.7	26.5	28.1	28.5	27.2	23	19.3	16.2	240	20	
MEDIA	12.9	13.3	14.1	16	18	21.4	24.5	25.2	23.9	19.9	16	12.7	212.8	18.1	
DESV.ST	1.7	1.6	1.7	1.6	1.5	1.9	1.6	1.3	1.6	1.6	1.7	1.6	29.3	1	
