 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2077 
 NOMBRE    : LA MISION 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2009	23.6	20.8	21	22.1	22.6	23.3	26.6	27.3	28.7	25.3	22.7	19.5	283.5	23.6	12
2010	21.3	20.5	21.2	20.5	21.5	22.4	23.9	24.8	23.8	22.7	22.2	20.6	265.4	22.1	12
2011	22.2	19.3	20.4	21.7	21.8	23	25.3	24.7	25.2	23.3	20.9	19.5	267.3	22.3	12
2012	21.9	20.4	20.5	21.5	21.9	22.8	24.8	28	28.7	26.9	22.9	19.5	279.8	23.3	12
2013	20.4	20	21.2	21.9	21.5	24.5	24.8	25.9	26.6	24.6	23.4	22	276.8	23.1	12
2014	22.8	21.7	22.8	24	27.1	24.6	27.3	27.9	29.6	28.1	26.6	21.3	303.8	25.3	12
2015	23.1	23.8	25.1	23.7	21.6	24.4	26.6	28	30.2	29.2	24.7	21	301.4	25.1	12
2016	20	25.5	21.4	23.3	21.7	25.7	26.8	26.4	26.7	26.8	25.1	20.6	290	24.2	12
2017	18.8	17.8	21.4	22.4	21.9	22.8	26.2	25.4	26	27	23.5	22.5	275.7	23	12
2018	21.6	18.3	20	21.5	20.8	22.9	26.5	28	25.6	23.9	21.9	19.1	270.1	22.5	12
2019	19.2	16.3	19.1	22.1	20.7	22.7	24.2	24	26.1	22.4	17.6	14.8	249.2	20.8	12
2020	17.2	16.4	16.8	20.5	23.5	24	23.8	26.1	25.1	21.1	22	20	256.5	21.4	12
MÍNIMA	17.2	16.3	16.8	19.7	20.7	22.3	23.8	24	23.8	21.1	17.6	14.8	249.2	20.8	
MÁXIMA	24.5	25.5	25.1	24.5	27.1	27.1	29.4	28.9	30.2	29.5	26.6	22.5	303.8	25.3	
MEDIA	20.9	20.2	20.8	21.9	22.6	23.9	25.9	26.7	26.8	25.2	23	20.2	278	23.2	
DESV.ST	1.8	2.1	1.8	1.2	1.5	1.3	1.4	1.3	1.6	2.3	2.1	1.6	13.3	1.1	

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000	0	5	5	6	8	10	11	14	15	8	2	1	85	7.1	12
2001	1	3	5	4	7	12	11	12	10	7	3	1	76	6.3	12
2002	0	0	3	5	8	9	12	10	12	8	5	2	74	6.2	12
2003	4	2	5	4	4	8	9	13	10	8	2	1	70	5.8	12
2004	0	2	6	7	7	10	11	13	10	7	0	-1	72	6	12
2005	2	4	4	5	7	10	15	12	8	8	1	-1	75	6.2	12
2006	-1	0	2	5	8	10	15	12	10	6	4	0	71	5.9	12
2007	0	2	4	4	7	9	12	13	9	7	5	2	74	6.2	12
2008	1	2	2	5	8	6	13	16	13	5	6	-2	75	6.2	12
2009	2	2	2	4	8	11	12	12	10	5	2	2	72	6	12
2010	3	3	2	5	5	9	11	9	8	8	0	0	63	5.2	12
2011	2	0	2	4	4	6	13	11	10	4	4	-2	58	4.8	12
2012	-1	1	2	4	7	9	10	14	12	6	1	0	65	5.4	12
