 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22070 
 NOMBRE    : PLANTEL 7 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000	3.6	6.1	9.2	11.3	12.3	13.9	13.3	12.8	11.4	10.5	9.3	7.4	121.1	10.1	12
2001	7.1	8	11.1	13.2	13.3	12.7	12.4	12.1	12.7	11	9.1	8	130.7	10.9	12
2002	5.6	5.9	11.2	11.3	11	11.3	10	10.7	12.5	11.6	7.2	3.4	111.7	9.3	12
2003	5.3	7.6	10.4	12.3	13.5	13.8	13.1	13.3	13	10.3	8.7	2.9	124.2	10.3	12
2004	4.7	6.8	10.3	10.3	11.3	12.7	12.7	12.7	12.5	11	7.6	6.6	119.2	9.9	12
2005	5	6.7	9	11.6	11	13.5	13.3	13.9	12.9	11	6.9	5.4	120.2	10	12
2006	5.6	7.6	9		10.2	11.6	11.2	13.5	12.3	12	9.2	7.2	109.4	9.9	11
2007	6.2	7.2	9.7	10.8									33.9	8.5	4
2008	3.9	4.9	6.1	9.8	11.6	13.5	12.9	13.3	13				89	9.9	9
2009	4.8	5.4	8		12.7	13.4	14.2	12.2	14	12	7.3	5.2	109.2	9.9	11
2010	9.3			10.1	11.1	13.4	14.9	13.5	14.3	11.4	12	7.3	117.3	11.7	10
2011	6.6	8.6	9	12.9	14	12.4	14.6	13.2	14.7				106	11.8	9
2012				9	12.4	13.1	13.5	13.2	11.7	10	9.7	7.5	100.1	11.1	9
2013	7.3	7.7	8.9	13	14.8	15	14.3	14.1	14.7	11	9.9	6.1	136.8	11.4	12
2014	5.1	5.3	9.1	14	14.7	14	13.1	12.3	12.2	11.9	8.8	6.6	127.1	10.6	12
2015	6	7.2	9.8	9.5	12.4	10.5	14.3	11.6	13.6	11.2	11.5	7.5	125.1	10.4	12
2016	7	6.1	10.7	10.3	12.4	14.2	12.7	13.9	12.9	12	8.8	7.7	128.7	10.7	12
2017	4.4	6.3	8	10.2	13.2	15.1	12.7	12	12.5	11.8	7.4	6.2	119.8	10	12
2018	4.3	10	11.4	11.4	12.2	13.6	13.4	12.8	13.7	13.9	9.9	5.9	132.5	11	12
2019	5.8	9.2	10.1	10.5	12.3	12.2	13.1	13	12.6	11.7	11.1	5.9	127.5	10.6	12
MÍNIMA	3.6	4	6.1	9	10.2	10.5	10	10.7	10.9	7.3	6.2	2.4	21.3	8.5	
MÁXIMA	9.3	10.2	11.4	14	14.8	16.5	17.6	14.7	16	15.4	15.2	8	136.8	14	
MEDIA	5.7	7	9.6	11.4	12.5	13.4	13.3	13	13.1	11.3	9.1	6.1	109.1	10.6	
DESV.ST	1.4	1.6	1.3	1.4	1.2	1.4	1.5	1	1.2	1.6	2.1	1.7	28.3	1.1	

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1996				19	19.1	18.9	20.8	22.3	22.7	22.1	19.8		164.7	20.6	8
1997				22.7	21.5	26.6	24.6		19.8	16.2	15.6		147	21	7
1998		18.9	20.3										39.2	19.6	2
1999							19.6		18.7	15.7	14.1	11.2	79.3	15.9	5
2000	13	15.3	17.8	20	21	20.5	20.2	20.1	19.2	17.8	16.8	15.1	216.8	18.1	12
2001	15.4	16.9	19	20.3	21.8	20.3	20	19.8	19.3	18.1	15.6	14.8	221.3	18.4	12
2002	14.7	15.1	19.4	19.5	21	19.3	18.4	19	18.8	18.6	15.5	13.4	212.7	17.7	12
2003	13.9	16.5	18.2	21	22	20.6	20.1	20.2	18.9	16.8	16.2	12.8	217.2	18.1	12
2004	12.8	14.7	17.9	18	20.4	19.7	19.7	19.6	18.5	18	16.2	15.8	211.3	17.6	12
2005	14.4	15.8	16.9	19.6	21.1	21.8	21.3	20.4	19.7	18.1	15.9	14.6	219.6	18.3	12
2006	14.1	16.2	17.7		19.7	21.3	20.7	19.9	18.4	18.4	16.1	14.8	197.3	17.9	11
2007	14.1	15.8	18.2	19.3									67.4	16.9	4
2008	13.8	14.9	15.3	18.9	21.1	21.2	20	20.4	19.1				164.7	18.3	9
2009	13.5	14.7	17.6		21.5	21.8	21.1	20.6	19.8	18.6	14.8	14.2	198.2	18	11
2010	16			18.6	19.4	20.8	20.5	20.2	20.6	18.6	18	15.3	188	18.8	10
2011	14.5	16.2	15.5	19.8	20.8	17.8	20.5	19.1	21				165.2	18.4	9
2012				19.8	22.6	22.3	22.1	23.5	21.9	20.8	17.8	15.6	186.4	20.7	9
2013	16.9	19.2	20.4	22.5	23.5	23.3	21.6	21.5	21.7	21	20.4	13	245	20.4	12
2014	14.4	14.4	19.6	22.1	22.3	21.7	19.9	19.7	19.4	18.9	16.3	14.2	222.9	18.6	12
2015	15	17.2	18	18	20.1	18.2	21.2	18.5	19.4	20	18.7	14.5	218.8	18.2	12
2016	15	18	20.3	18	20.1	21.9	19.7	20.4	19.7	20.7	16.3	15.7	225.8	18.8	12
2017	15.5	16.8	18.1	21	23.2	23	22.3	22	22.3	19	16.2	13.3	232.7	19.4	12
2018	13.1	17.7	21	21.4	21.5	20.4	20.4	19.3	19.5	18.9	16	14.2	223.4	18.6	12
2019	14.2	17.7	19.6	20.4	22	20.1	20.2	20.6	19.9	19	18.4	14.6	226.7	18.9	12
MÍNIMA	12.8	14.4	15.3	18	19.1	17.8	18.4	18.5	18.4	15.7	14.1	11.2	39.2	15.9	
MÁXIMA	16.9	19.2	21	22.7	23.5	26.6	24.6	23.5	22.7	22.1	20.4	15.8	245	21	
MEDIA	14.4	16.4	18.5	20	21.2	21	20.7	20.4	19.9	18.8	16.7	14.3	187.2	18.6	
DESV.ST	1	1.4	1.6	1.4	1.2	1.9	1.2	1.2	1.2	1.6	1.6	1.2	54.6	1.2	
