 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22046 
 NOMBRE    : NOGALES 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2004			16.1	16.1	16.7	16.4	17.2	16.7	18.5	18.9	16	16.1	168.7	16.9	10
2005	19.3	15.7	17.8	18	19.7	19.8	20.1	17.9	19.4	18.7	18.7	16.4	221.5	18.5	12
2007	17.1	16.4	18.9	19									71.4	17.9	4
2010						18.5							18.5	18.5	1
2015	14.1	14.4	18.8	19.3	18.8	20.7	18.1	20.1	17.7	19	15.6	16.6	213.2	17.8	12
2016	17.2	16.3	18.9	20.7	18.9	21.9	18.1	21	18.4	19	15.1	14.4	219.9	18.3	12
2017	13.4	15.2	15	16.1	18.4	20.3	19.7	20.8	19.6	18.6	17.3	13.8	208.2	17.4	12
2018	11.8	16	19.4	20	19.1	18.6	18.1	19.1	19.2	17.8	15.1	14	208.2	17.4	12
2019	14.2	16.5	17.7	20.7	22.4	22	20.8	21	19.8	19	18.4	14.4	226.9	18.9	12
MÍNIMA	7.2	12.3	14.5	14.9	15.8	16.4	16.1	16	12.1	9.1	9	7.4	17.7	13.8	
MÁXIMA	19.3	20.5	20.2	21	25.3	23.3	23.1	21	19.8	19	18.7	16.6	226.9	18.9	
MEDIA	13.6	14.9	16.8	18.3	19.6	19.4	18.1	18.3	17.4	16.2	14.9	13.3	171.8	16.8	
DESV.ST	2.7	1.9	1.6	1.8	2.2	1.7	1.5	1.4	1.7	2.3	1.9	2.2	57	1.1	
