 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2118 
 NOMBRE    : VALLE DE SAN RAFAEL 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1985	8.8	10.5	11.4	16.8	17.4	22.6	24.5	24	18.5	16.9	11.6	10.9	193.9	16.2	12
1986	13.2	11.2	13.8	14.9	17.7	22.5	23.5	26.5	18.2	16.4		10.6	188.5	17.1	11
1987	9.9	10.3	11	16.2	17.4	21.5	22	23.2	22.5	19.1	12.7	9.2	195	16.2	12
1988	10.2	12.6	12.6	14.4	17.7	20.7	24.8	24	21.1	20	12.8	9.2	200.1	16.7	12
1989					17.7		25					12.4	55.1	18.4	3
1991	10.1	14.3	10	13.7	15.6	19.4	22.7	22.8	22.8	20.5	14.8	10.7	197.4	16.4	12
1992	10.1	11.7	11.6	16.1	18.1	20.6	24.9	26.5	22.2	18.7	12.1	9.3	201.9	16.8	12
1993	10.3	9.8	13.7	15.5	19	21.4	21.9	23.5	22	18.2	13.4	10.7	199.4	16.6	12
1994	13	10.4	13.6	14.3	16.4	22.8	24.2	25.7	22.7	16	11	10	200.1	16.7	12
1995	10.1	13.1	12.3	12.9	14.8	19.4	24.8	27.4	24.8	18.5	16.3	11.8	206.2	17.2	12
1996	12.3	12.6	12.9	16.4	18.2	21.6	26.6	25.7	20.9	16.5	13.7	11	208.4	17.4	12
1997	10	8.8	13.6	13.2	19.4	20.2	22.5	25.2	24.5	16	13.8	7.6	194.8	16.2	12
1998	8.6	8.3	11.4	11.2	13.3	17.4	25.2	26.4	21.2	15.5	11.1	7.1	176.7	14.7	12
1999	9.2	9.9	10.2		15.6	20	23.8	23.6	18.6	19.4	13.8	9.5	173.6	15.8	11
2000	10.9	9.8	10	15.1	17.3	22.5	23.5	24	23.5	15.4	9.3	10.9	192.2	16	12
2001	8.1	8	11.2	10	16	17.4	17.4	22.3	21.9	20.9			153.2	15.3	10
2002	9.6	10.4	11.4	14.2	19.3	23.1	26.3	24.2	24.4	15.9	14.8		193.6	17.6	11
2003	12.1	10.8	12.4	12.2	17.5	19.9	25.8	26.2	24	21	12.1	10.2	204.2	17	12
2004	9.9	9.5	15.9	15.3	18	19.6	24	23	20.3	14.8	9.9	10.2	190.4	15.9	12
2005	9.1	9.2	10.8	12.7	17.2	20.8	25	23.3	20.4	15.9	14.2	10.9	189.5	15.8	12
2006	10.6	11.3	9.4	12.1	18.7	23.6	27	23.9	22.2	16.3	14.8	10.1	200	16.7	12
2007	8.5	11.6	15		18.3	22.1	25.8	24.2	20.1	21.3	18.7	7.9	193.5	17.6	11
2008	10.2	11.5	16.6	18.7	19	28.8	30.7	30.6	29.4	26.1	20.6		242.2	22	11
2009	12.2	9.8	12.5	16.3	23.2	21.7	29.1	28.9	23.9	19.8	15	8	220.4	18.4	12
2010	10.1	9.2	12.1	14.5	16.2	23.3	27.8		20.7	15.7	11.2	10.3	171.1	15.6	11
2011	9.5	8	10.6	13.6	14.3	21.1	24.9	26.9	24.9	22.7	15	8.1	199.6	16.6	12
2012	11.7	10	10.7	12.3	15	20.5	25.8	27.3	24.7	18.9			176.9	17.7	10
2013	9	8.9	12.8	13.2	17	22.6	24.3	23.5	22.8	13.6	11.7	9.6	189	15.8	12
2014	12.6	13.3	13.8		19.3	23.2	26.3	25	24.1	20.4	16.6	10.7	205.3	18.7	11
2015	12.6	14.4	16.5	16.8	15.8	24.1	24.5	27.2	24.3	20.9	16.1	10.8	224	18.7	12
2016	10.3	12.8	12	13	14	25.5	27.4	24.3	18	18.4	14.7	11	201.4	16.8	12
2017	7.9	9.3	13.8	15.6	16.9	23	27.6	27.6	22	19.1	17.9	14.9	215.6	18	12
2018	11.7	9.5	10.1	13.5	14.1	20.4	25.8	24.4	22.7	16.2	13.2	9.2	190.8	15.9	12
2019	7.8	5.3	8.5	12.9	12.1	18.8	23.1	24.6	20.4	16	12.8	7.8	170.1	14.2	12
2020	7.9	9.2	7.5	12	17	18.4	22.6	25.9	23.4	18.2	12.5	9	183.6	15.3	12
2021												10.4	10.4	10.4	1
MÍNIMA	7.8	5.3	7.5	10	12.1	16.8	17.4	22.3	18	13.6	9.3	7.1	10.4	10.4	
MÁXIMA	13.4	14.4	16.6	18.7	23.2	28.8	30.7	30.6	29.4	26.1	20.6	14.9	242.2	22	
MEDIA	10.4	10.6	12	14	16.9	21.3	24.9	25.2	22.3	18	13.7	10.1	183.1	16.5	
DESV.ST	1.6	1.9	2	1.9	2.1	2.4	2.2	1.8	2.3	2.6	2.4	1.6	46.2	1.8	
