Date,22058,22067,22063,22070,22004,22046,22067-2
1992-01-01,20.4,9,20.2,25.6,20.7,15.9,40
1992-02-01,6.5,1.3,8.6,8.2,21.2,0,6
1992-03-01,6.8,3.1,3.8,8.5,8,5.8,14
1992-04-01,3.1,0.8,4.8,3.9,8.6,0,3.5
1992-05-01,6.9,1.7,11.1,8.6,18.3,0,7.6
1992-06-01,0,3,34,15,16.9,10.5,13.2
1992-07-01,0,3.9,47.5,19.9,20,14,17.6
1992-08-01,0,6,41.9,30.3,62.8,21.1,26.8
1992-09-01,0,6,39,30.5,66.4,21.1,26.9
1992-10-01,0,2.5,24.4,12.5,18.2,8.7,11
1992-11-01,8,2,8,10.1,15.4,7.1,9.1
1992-12-01,0,0,0,0,0,0,0
1993-01-01,2.2,0.5,2.9,2.7,3.4,1.9,2.5
1993-02-01,1.8,0.4,1.2,2.2,4,1.6,2
1993-03-01,3.1,0.3,6.8,3.9,4.5,2.7,1.5
1993-04-01,0,0,9.9,4.9,12.6,3.4,0
1993-05-01,0,0.7,4.8,3.3,6.3,2.3,3
1993-06-01,0,7.6,40,31.4,61.2,22,34
1993-07-01,0,9.4,30,27.5,43.2,19.4,42
1993-08-01,0,5.2,5.8,12.9,24.8,9.1,23
1993-09-01,0,2.7,13.4,13.5,33.6,9.4,11.9
1993-10-01,0,0.7,7.7,3.7,5,2.6,3.3
1993-11-01,13.5,3.8,22.3,17.1,14.5,12.1,17
1993-12-01,0,0,0,0,0,0,0
1994-01-01,0,0,7.1,3.4,8.2,4.8,0
1994-02-01,0,0,0,0,0,0,0
1994-03-01,0,0,6.7,2.2,3,15.6,0
1994-04-01,0,3.6,16.2,12.7,21.8,8.9,16
1994-05-01,0,3.2,20,16.1,35.6,11.1,14.2
1994-06-01,0,7.4,17.1,18.6,26.5,13.2,33
1994-07-01,0,1.1,17.9,9.3,18.3,6.5,5
1994-08-01,0,7.8,21.5,22.5,37.5,15.8,35
1994-09-01,0,1.6,30.7,14.7,27.3,10.2,7
1994-10-01,23.5,4.2,17.8,23.1,30.4,16.2,18.7
1994-11-01,0,2.5,0,3.1,0,2.3,11.3
1994-12-01,0,0.2,0,0.3,0,0.2,1.1
1995-01-01,0,0.4,2.9,2,3.6,1.4,2
1995-02-01,0,0.7,1.3,1.6,2.3,0,3
1995-03-01,0,0,0,0,0,0,0
1995-04-01,0,1.4,8,7,5.3,11.8,6.3
1995-05-01,0,3.4,60,24.7,32.7,52.8,15
1995-06-01,0,0,30,18.6,55.2,10.5,0
1995-07-01,0,2.5,10.9,12.3,18.3,17.1,11
1995-08-01,0,4,31.8,25,60.3,3.9,18
1995-09-01,66,4.7,30.7,45.9,57.8,0,21
1995-10-01,10,0.9,18.7,10.1,7.4,0.1,4
1995-11-01,25,2.6,8,12.6,13.5,0,11.4
1995-12-01,30,3.5,22.1,17.3,12.8,0.1,15.6
1996-01-01,0,0,0,0,0,0,0
1996-02-01,0,0,0,0,0,0,0
1996-03-01,8,0,0,3.1,2.8,0,0
1996-04-01,4,0,0,0,0,2.6,0
1996-05-01,14,0,11.5,10,18.6,1.5,0
