"estacion_2001clima",2001,1969,1,1,19.5
"estacion_2001clima",2001,1969,2,1,30
"estacion_2001clima",2001,1969,3,1,15
"estacion_2001clima",2001,1969,4,1,2.5
"estacion_2001clima",2001,1969,5,1,5.5
"estacion_2001clima",2001,1969,6,1,0
"estacion_2001clima",2001,1969,7,1,0
"estacion_2001clima",2001,1969,8,1,0
"estacion_2001clima",2001,1969,9,1,0
"estacion_2001clima",2001,1969,10,1,0
"estacion_2001clima",2001,1969,11,1,6.5
"estacion_2001clima",2001,1969,12,1,9.5
"estacion_2001clima",2001,1970,1,1,2
"estacion_2001clima",2001,1970,2,1,30
"estacion_2001clima",2001,1970,3,1,29
"estacion_2001clima",2001,1970,4,1,3.8
"estacion_2001clima",2001,1970,5,1,0
"estacion_2001clima",2001,1970,6,1,0
"estacion_2001clima",2001,1970,7,1,0
"estacion_2001clima",2001,1970,8,1,2.5
"estacion_2001clima",2001,1970,9,1,0
"estacion_2001clima",2001,1970,10,1,1.5
"estacion_2001clima",2001,1970,11,1,21
"estacion_2001clima",2001,1970,12,1,24
"estacion_2001clima",2001,1971,1,1,9
"estacion_2001clima",2001,1971,2,1,14.1
"estacion_2001clima",2001,1971,3,1,2
"estacion_2001clima",2001,1971,4,1,12.5
"estacion_2001clima",2001,1971,5,1,9
"estacion_2001clima",2001,1971,6,1,0
"estacion_2001clima",2001,1971,7,1,0
"estacion_2001clima",2001,1971,8,1,4
"estacion_2001clima",2001,1971,9,1,4.5
"estacion_2001clima",2001,1971,10,1,13.5
"estacion_2001clima",2001,1971,11,1,0.5
"estacion_2001clima",2001,1971,12,1,9.5
"estacion_2001clima",2001,1972,1,1,0
"estacion_2001clima",2001,1972,2,1,2
"estacion_2001clima",2001,1972,3,1,0
"estacion_2001clima",2001,1972,4,1,1
"estacion_2001clima",2001,1972,5,1,3
"estacion_2001clima",2001,1972,6,1,37
"estacion_2001clima",2001,1972,7,1,0
"estacion_2001clima",2001,1972,8,1,0
"estacion_2001clima",2001,1972,9,1,1.5
"estacion_2001clima",2001,1972,10,1,26
"estacion_2001clima",2001,1972,11,1,21
"estacion_2001clima",2001,1972,12,1,17.5
"estacion_2001clima",2001,1973,1,1,11.5
"estacion_2001clima",2001,1973,2,1,17
"estacion_2001clima",2001,1973,3,1,23.5
"estacion_2001clima",2001,1973,4,1,2
"estacion_2001clima",2001,1973,5,1,0.5
"estacion_2001clima",2001,1973,6,1,0
"estacion_2001clima",2001,1973,7,1,0
"estacion_2001clima",2001,1973,8,1,0.5
"estacion_2001clima",2001,1973,9,1,0
"estacion_2001clima",2001,1973,10,1,0
"estacion_2001clima",2001,1973,11,1,12
"estacion_2001clima",2001,1973,12,1,2
"estacion_2001clima",2001,1974,1,1,39
"estacion_2001clima",2001,1974,2,1,4
"estacion_2001clima",2001,1974,3,1,19.6
"estacion_2001clima",2001,1974,4,1,3
"estacion_2001clima",2001,1974,5,1,0
"estacion_2001clima",2001,1974,6,1,0
"estacion_2001clima",2001,1974,7,1,22.8
"estacion_2001clima",2001,1974,8,1,0
"estacion_2001clima",2001,1974,10,1,18
"estacion_2001clima",2001,1974,11,1,3.5
"estacion_2001clima",2001,1974,12,1,9.5
"estacion_2001clima",2001,1975,1,1,10.5
"estacion_2001clima",2001,1975,2,1,13.5
"estacion_2001clima",2001,1975,3,1,19.5
"estacion_2001clima",2001,1975,4,1,19
"estacion_2001clima",2001,1975,5,1,0
"estacion_2001clima",2001,1975,6,1,1
"estacion_2001clima",2001,1975,7,1,1.5
"estacion_2001clima",2001,1975,8,1,2
"estacion_2001clima",2001,1975,9,1,0.4
"estacion_2001clima",2001,1975,10,1,1
"estacion_2001clima",2001,1975,11,1,17.5
"estacion_2001clima",2001,1975,12,1,6
"estacion_2001clima",2001,1976,1,1,0
"estacion_2001clima",2001,1976,2,1,37
"estacion_2001clima",2001,1976,3,1,14.5
"estacion_2001clima",2001,1976,4,1,6.7
"estacion_2001clima",2001,1976,5,1,0
"estacion_2001clima",2001,1976,6,1,0
"estacion_2001clima",2001,1976,7,1,1.5
"estacion_2001clima",2001,1976,8,1,0.4
"estacion_2001clima",2001,1976,9,1,34.5
"estacion_2001clima",2001,1976,10,1,2.1
"estacion_2001clima",2001,1976,11,1,40
"estacion_2001clima",2001,1976,12,1,23
"estacion_2001clima",2001,1977,1,1,10
"estacion_2001clima",2001,1977,2,1,11
"estacion_2001clima",2001,1977,3,1,12
"estacion_2001clima",2001,1977,4,1,3.2
"estacion_2001clima",2001,1977,5,1,17
"estacion_2001clima",2001,1977,6,1,2.8
"estacion_2001clima",2001,1977,7,1,0
"estacion_2001clima",2001,1977,8,1,70
"estacion_2001clima",2001,1977,9,1,0
"estacion_2001clima",2001,1977,10,1,12.5
"estacion_2001clima",2001,1977,11,1,6.5
"estacion_2001clima",2001,1977,12,1,49.5
"estacion_2001clima",2001,1978,1,1,38.5
"estacion_2001clima",2001,1978,2,1,33
"estacion_2001clima",2001,1978,3,1,35.5
"estacion_2001clima",2001,1978,4,1,9.5
"estacion_2001clima",2001,1978,5,1,0
"estacion_2001clima",2001,1978,6,1,0
"estacion_2001clima",2001,1978,7,1,0
"estacion_2001clima",2001,1978,8,1,0
"estacion_2001clima",2001,1978,9,1,8.5
"estacion_2001clima",2001,1978,10,1,0
"estacion_2001clima",2001,1978,11,1,38
"estacion_2001clima",2001,1978,12,1,28.5
"estacion_2001clima",2001,1979,1,1,28.5
"estacion_2001clima",2001,1979,2,1,7
"estacion_2001clima",2001,1979,3,1,28.5
"estacion_2001clima",2001,1979,4,1,0.3
"estacion_2001clima",2001,1979,5,1,3.5
