1989-03-01,20.2,17.3,20,14,22,20.2
1989-04-01,1.4,1.2,1.5,0.5,2,1.4
1989-05-01,1.9,1.8,2.5,1.5,1,1.9
1989-06-01,0,0,0,0,0,0
1989-07-01,0,0,0,0.1,0,0
1989-08-01,0,0,0,0,0,0
1989-09-01,2.6,2.2,3,1,3.5,2.7
1989-10-01,3.5,3,4,3.5,2,3.5
1989-11-01,0.8,0.6,0,0.1,2,0.7
1989-12-01,2.9,0,8,2,2,3.4
1990-01-01,23.3,19.9,20,19.5,24,23.1
1990-02-01,8.9,7.6,8,6.5,10,8.9
1990-03-01,3.4,2.8,0,3.5,5,3.1
1990-04-01,4.8,4.1,4.7,4,4.5,4.8
1990-05-01,6.7,5.7,5,6.5,6.5,6.6
1990-06-01,3.3,2.8,2.5,2,4.5,3.2
1990-07-01,0,0,0,0.1,0,0
1990-08-01,0,0,0,0.1,0,0
1990-09-01,0,0,0,0.1,0,0
1990-10-01,0,0,0,0.1,0,0
1990-11-01,19.5,16.8,22,16.5,15.5,19.7
1990-12-01,17.6,14.9,12,14.5,21,17.2
1991-01-01,14.7,13.5,0,18.5,17,13.6
1991-02-01,77.3,56.4,91,65.3,76.1,81.2
1991-03-01,33.3,29,28,25.5,37,33
1991-04-01,1.1,2,0,0.5,0.9,0.9
1991-05-01,0.5,0,0,0.1,1.7,0.5
1991-06-01,0,0,0,0,0,0
1991-07-01,15.5,20,20,12,3,15.1
1991-08-01,1.5,3.5,1.2,0,0,1.2
1991-09-01,10.2,10.6,9.8,0.2,17,10.1
1991-10-01,19.8,20,19.1,14.5,17,19.4
1991-11-01,5.1,0,5.5,5.5,9,5.7
1991-12-01,24.2,27,22.7,13,22,23
1992-01-01,36.4,31.3,35.6,28.5,36,36.4
1992-02-01,41.6,33.5,40.9,36,40,41.8
1992-03-01,32.6,33.5,31.2,26.5,24,31.8
1992-04-01,3.1,2.7,3,1.5,4,3.1
1992-05-01,14.2,7.6,14.3,17,13,14.7
1992-06-01,0,0,0,0,0,0
1992-07-01,0.1,0,0.1,0.1,0.1,0.1
1992-08-01,17.7,11,17.9,19,17.4,18.5
1992-09-01,0,0,0,0,0,0
1992-10-01,8.1,8.5,7.7,5,7.5,7.8
1992-11-01,1.9,3.1,1.7,0,1.6,1.6
1992-12-01,42.7,30,42.7,42,41.5,43.8
1993-01-01,69.4,52.8,89,49.5,67.6,72.1
1993-02-01,52.3,48,44.5,44,49.1,51.3
1993-03-01,14.8,15.6,13,10,13.7,14.3
1993-04-01,3.2,0,15,0,0,4.3
1993-05-01,3.3,0,6,3,4,3.7
1993-06-01,4.2,5.6,2,3.5,3,3.8
1993-07-01,0,0,0,0,0,0
1993-08-01,6.1,16.7,0,0,2,4.7
1993-09-01,0,0,0,0,0,0
1993-10-01,4.5,5.2,0,2,8,4.1
1993-11-01,13.9,16.5,11,8.5,13,13.3
1993-12-01,10,9.7,0,12.5,11,9.2
1994-01-01,13.4,9.2,13,14.5,11.5,13.6
1994-02-01,35.1,40,22,25,35,33.3
1994-03-01,19.8,17.2,18,16,20,19.7
1994-04-01,11.1,10.2,10,9.5,10,11
1994-05-01,0,0,0,0,0,0
1994-06-01,0,0,0,0,0,0
1994-07-01,1,3,0,0,0,0.7
1994-08-01,11.1,4.3,0,17.5,16,10.8
1994-09-01,0,0,0,0,0,0
1994-10-01,1.7,0,3.5,0.1,3.5,2
1994-11-01,13.7,18.4,7.7,6,15.4,12.7
1994-12-01,21.6,31,26,16,2.5,20.7
1995-01-01,47.9,57,50.5,31.5,31,46.5
1995-02-01,54.5,14.5,61.5,57.5,71,58
1995-03-01,44.5,45.5,52,33,30,44.3
1995-04-01,24.7,22.7,22,22,21,24.3
1995-05-01,19.5,17.5,48,6.5,5,21.3
1995-06-01,11,7.2,33,4.5,0.3,12.6
1995-07-01,0.6,0,0.6,1.5,0,0.6
1995-08-01,2,4.5,0,0,1.5,1.5
1995-09-01,12.6,29,0,6.5,3,10
1995-10-01,0,0,0,0.1,0,0
1995-11-01,3,0,0,4.5,6,3
