 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22067 
 NOMBRE    : LA VENTA 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2002	146.9	98.98	191.94	161.79	181.16	196.14	195.78		118.02		106.3	123.81	1520.82	152.1	10
2003	125.98	166.22	204.63	186.5	235.23	196.8	169.64	167.04					1452.04	181.5	8
2004	207.24			181.51	179.89	167.05	175.28	201.61			134.65	97.42	1344.65	168.1	8
2005	129.45	103.68	136.13	193.42	208.39	198.4	222.12	149.98	156.52	140.91	127.22	95.13	1861.35	155.1	12
2006	143.54	118.3	179.74	153.38	206.46	178.59	159.86	209.22	141.18	169.04	108.63	112.52	1880.46	156.7	12
2007	122.94	116.88											239.82	119.9	2
2015	103.74	104.79	165.39	143.1	180.93	214.67	132.82	209.22	130.65				1385.31	153.9	9
2016		116.88	168.01	147.84	157.73	167.11	183.15	196.07	171.03	132.44	119.43	119.62	1679.31	152.7	11
2017		85.89	102	99.46	140.01	110.63	99.63	97.22	87.2	146.89	151.07	126.2	1246.2	113.3	11
2018	135.85	117.3	144.91	151.43	184.74	110.63	112.63	97.22	83.62	103.71	100.67	91.7	1434.41	119.5	12
2019	103.74	104.79	199.56	143.1	186.56	224.67	191.1	194.63	190.32	162.16	117.22	108.68	1926.53	160.5	12
MÍNIMA	70.88	13.83	102	99.46	140.01	110.63	99.63	97.22	83.62	103.71	100.67	54.46	84.71	42.4	
MÁXIMA	207.24	166.22	223	203.8	235.23	224.67	222.12	209.22	190.32	189.31	151.07	129.7	2052.69	181.5	
MEDIA	128.4	106.9	171.5	160.5	192.1	179.6	162.8	168.4	137.7	150.4	122.6	106.4	1220.4	140.1	
DESV.ST	33.8	35.6	36.3	29.5	27.9	36.8	35.6	45	36.6	25.8	13.9	21.5	663.6	35.8	

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984						31	29	28.5	29	30	28	25.9	201.4	28.8	7
1985	26	27	30	31	34		29	29	30	29.5	29	26	320.5	29.1	11
1986	27	29	30	34	36	30	29	29	30	28	27.5	26	355.5	29.6	12
1987	29		31	32	31	33	30	28	32	29	28	29	332	30.2	11
1988	28	31	31	34	34	33	29	28	32	29	30	26	365	30.4	12
1989	26	29	30	31	35	35	41	30	29		30		316	31.6	10
1990	29	29	31	32	34	32	31		28	29	28	29	332	30.2	11
1991	29	29	33	35	36	35	28	29	30	28			312	31.2	10
1992	27	29	33										89	29.7	3
1993		30	30	30	34	36	30	30			27	28	275	30.6	9
1994	31	30	33	34		25	26	26	25	29	29	28	316	28.7	11
1995	18	19			29	29		27	26	26			174	24.9	7
1996	14	18	19	23	26	23	23	31	31	33	32	31	304	25.3	12
1997	29	37		33	26	29	29	28	27		25	22	285	28.5	10
1998	21												21	21	1
2000	14	17	19	24	26	24		25		29	29	22	229	22.9	10
2001	26	28	31	33	33	31	30	31	29	28	27	26	353	29.4	12
2002	26	27	31	34	32	31	31	30	28	29	30	31	360	30	12
2003	25	29	32	32	36	31	29	29	29		28	26	326	29.6	11
2004	29	29	30	32	33	30	28	29	28	30	27	25	350	29.2	12
2005	25	25	27	33	33	34	29	29	29	28	29	25	346	28.8	12
2006	26	28	33	33	35	33	29	29	35	31	24	24	360	30	12
2007	27	29											56	28	2
2015	26	28	33	33	31	32	28	29	27				267	29.7	9
2016		29	27	28	29	30	29	28	29	28	25	29	311	28.3	11
2017		24	28	30	36	29	28	29	29	35	36	26	330	30	11
2018	26	29	30	29	33	33	32	32	30	28	30	32	364	30.3	12
