 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2004 
 NOMBRE    : IGNACIO ZARAGOZA -BELEN- 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2014	30	31	32	36	39	36	41	40	42	37	33	24	421	35.1	12
2015	26	29	33	35	34	40	37	42	40	36	31	29	412	34.3	12
2016	24	30	30	32	30	44	39	41	39	30	30	25	394	32.8	12
2017	24	26	30	34	37	42	42	44	44	36	34	28	421	35.1	12
2018	30	26	32	32	35	33			40	34	32	26	320	32	10
2019	24	19	26	31	27	30	42	40	39	41	39	26	384	32	12
2020	27	25	25	27	23	30	30	46	42	36	22	23	356	29.7	12
MÍNIMA	20	17	21	20	23	26	30	35	33	29	22	19	23	23	
MÁXIMA	40	39	42.4	46.8	47.4	49	50	52.3	51	49	39	36.3	517.6	46.5	
MEDIA	26.7	26.9	28.4	31.4	34.8	37.9	40.2	40.8	39.6	35.8	31.2	26.6	368	33.1	
DESV.ST	4.2	3.6	3.9	4.4	4.1	4.7	3.1	3.1	3.1	3.7	3.4	3.4	82.9	3.4	

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964												17.5	17.5	17.5	1
1965	19.1	18.9	18.3	21.5	23.1	24	32.6	34.4	29.4	31.2	21.8	15.4	289.7	24.1	12
1966	16.1	16.4	22.3	26.4	27.4	30	33.6	34.3	31.9	28.3	20.8	19.4	306.9	25.6	12
1967	21.9	22.8	21.8	18.1	25.6	25.4	35.5	38.2	29.9	31.1	23.7	15.7	309.7	25.8	12
1968	18.3	21.7	20.7	22.7	25.8	29.6	32.7	32.1	31.7	27.7	22.7	18.1	303.8	25.3	12
1969	17.8	14.8	18.6	21.5	25.1	24.8	32.6	35.9	33	25.9	22.3	21.3	293.6	24.5	12
1970	19.8	21.5	18.3	19.6	27.8	31.4	38.6	36	32.8	26.8	25.1	18.2	315.9	26.3	12
1971	20.3	20.3	21.9	20.8	22.4	28.5	32.9	34.5	31.6	25	21.1	14.2	293.5	24.5	12
1972	19.3	21.6	23.7	28.1	27.7	29.9	37	33.3	30.9	24.3	21	18.4	315.2	26.3	12
1973	17.8	18	15.4	21.7	27.9	34.2	35.4	34.5	30.6	30.2	21.8	21.7	309.2	25.8	12
1974	18.3	21.5	20.7	26.3	29.9	35	35.1	34.7	37	24.2	24.7	20	327.4	27.3	12
1975	22	18.6	17.5	17.9	25	30.8	34.6	35.8	35.1	27.8	24.9	20.8	310.8	25.9	12
1976	23.2	19	20.6	22.3	26.2	32.3	32.3	33.3	26.7	28.7	24.8	22.1	311.5	26	12
1977	18.6	22.5	19.5	25.5	22.3	33.6	35.9	33.6	30.6	28.7	25.4	20.5	316.7	26.4	12
1978	16.7	16.5	18.1	18.3	25.5	34	35.7	34	30.3	30	18.8	14.5	292.4	24.4	12
1979	12.9	16.4	16.7	22.3	23.8	32	35	32.2	36.3	27.5	22.3	21.6	299	24.9	12
1980	16.6	19.4	14.9	20.6	20.7	30.4	33.6	35	32.3	29.5	24.1	19.8	296.9	24.7	12
1981	18.7	20	16.5	21.4	23.6	33	33.8	36.4	32.4	23.1	23.1	21.3	303.3	25.3	12
1982	33.9	17.7	17.3	21.3	22.5	25.1	34.3	33.9	29.8	27	18.6	16.5	297.9	24.8	12
1983	27.6	17.1	16.6	17.6	24.9	27.5	33.7	33.2	33.3	26.9	20	17	295.4	24.6	12
1984	20.1	19.2	20.1	20.1			31.6	31.4	31.7	22.3	19.4	14.5	230.4	23	10
1985	15	17.7	17.6	24.6	24.2	31.5	34.8	32.3	26.8	24.8	19.1	18.4	286.8	23.9	12
1986	21.5	17.8	19.9	23	25.5	29.6	30.9	34.8	26.7	23.9	22.2	17.5	293.3	24.4	12
1987	14.4	18	14.4	12.9	25.3	21.9	31.9	30.6	32.3	26.4	20.3	15.6	264	22	12
1988	19.8	22.7	21.5	23.9	26.4	26.6	33.7	31.2	29.6	29.5	22.5	19.8	307.2	25.6	12
1989		19.9	26.3	27.3	26.4	29.6	35.1	32.4	33.8	28	23.8	21	303.6	27.6	11
1990	18.5	16.8	20.3	23.1	25.9	32.5	34.9	30.6	31.5	28.4	22.1	16.8	301.4	25.1	12
1991	17.9	22.8	16.2		24	25.7	29.9	32.3	30.9	28.4	22.7		250.8	25.1	10
1992	16.2	17.9	16.7	22.2	25.2	28.1							126.3	21	6
1993				23.6	25.9	29.2	27.7	31.4	30.1	25.4	19.4	15.8	228.5	25.4	9
1994	19	15.2	18	20.1	20.7	29.9	31	32.4	31.5	23	15.3	14.9	271	22.6	12
1995	13.8	18.6	17.2	18.7	19.4	26.2	33.3	39.1	36.2	30.2	28.1	21.6	302.4	25.2	12
1996	21.3	20.5	22.4	26.9	29.6	43.1	34.9	32.7	28.5	24.8	21.6	17.6	323.9	27	12
1997	14.7	16.2	22.9	20.9	27.6	24.9	30	32.4	30.9	23.9	20.3	15	279.7	23.3	12
1998	16.2	12.3	16.4	17.9	19.1	24.7	33	34.2	26.9	23.5	19.6	14.9	258.7	21.6	12
1999	18.1	18.6	16.3										53	17.7	3
2000	18.2	16.1	16.1	24.4	25.7	29.5	31.4	33.5	30.5	21.4	17.6	21	285.4	23.8	12
2001	14.7	13.8	19.2	19	26.3	31	31.1	32.6	32	26	20.6	14.4	280.7	23.4	12
